element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""500.05067""","=""0.00008""","=""316""","=""7.3e+05""",E,"=""33765.306""","=""53763.280""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2D2).4p""","=""x 1F*""","=""3""",,
Ti,1,"=""500.0897""","=""0.0003""","=""12000""","=""5.27e+07""",C+,"=""6661.006""","=""26657.416""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,
Fe,1,"=""500.1605""","=""0.0004""","=""65""","=""""",,"=""37409.555""","=""57403.134""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""","=""3d6.4s.(6D).5d""","=""5P""","=""2""",,
Ti,1,"=""500.2383""","=""0.0003""","=""910""","=""3.65e+07""",B+,"=""16106.076""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,
Fe,1,"=""500.32586""","=""0.00008""","=""20900""","=""3.7e+07""",D+,"=""31307.245""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Ti,1,"=""500.3550""","=""0.0003""","=""6""","=""""",,"=""25107.411""","=""45093.226""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,
Fe,1,"=""500.3976""","=""0.0005""","=""79bl*""","=""""",,"=""33765.306""","=""53749.405""","=""3d8""","=""c 3F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""3F*""","=""2""",,
Fe,1,"=""500.3976""","=""0.0005""","=""79bl*""","=""""",,"=""38995.736""","=""58979.823""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d6.4s.(4D).4d""","=""3D""","=""2""",,
Fe,1,"=""500.41879""","=""0.00008""","=""2570""","=""8.8e+05""",D,"=""27394.691""","=""47377.955""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,
Fe,1,"=""500.54399""","=""0.00008""","=""468""","=""3.7e+06""",E,"=""33946.933""","=""53925.200""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""500.5737""","=""0.0004""","=""105""","=""""",,"=""26623.735""","=""46600.818""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 3S*""","=""1""",,
Fe,1,"=""500.71083""","=""0.00008""","=""15800""","=""""",,"=""31322.613""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Fe,1,"=""500.75152""","=""0.00008""","=""41700""","=""5.87e+06""",B+,"=""22845.869""","=""42815.855""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""",,
Ti,1,"=""500.8603""","=""0.0003""","=""10000""","=""4.92e+07""",C+,"=""6598.765""","=""26564.400""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,
Fe,1,"=""500.86717""","=""0.00008""","=""5400""","=""""",,"=""33095.941""","=""53061.318""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""5""",,
Fe,1,"=""501.0036""","=""0.0005""","=""105""","=""""",,"=""36766.966""","=""56726.892""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).5d""","=""5F""","=""3""",,
Ti,1,"=""501.1042""","=""0.0003""","=""1200*""","=""2.41e+05""",A,"=""170.1328""","=""20126.062""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,
Ti,1,"=""501.1042""","=""0.0003""","=""1200*""","=""""",,"=""17369.529""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,
Fe,1,"=""501.2610""","=""0.0005""","=""60""","=""""",,"=""24335.766""","=""44285.454""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",,
Fe,1,"=""501.34661""","=""0.00008""","=""65000""","=""5.50e+04""",A,"=""6928.268""","=""26874.550""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",,
Fe,1,"=""501.35556""","=""0.00008""","=""740""","=""""",,"=""33801.572""","=""53747.500""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Fe,1,"=""501.40926""","=""0.00020""","=""275""","=""6.5e+05""",E,"=""34547.211""","=""54490.999""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,
Ti,1,"=""501.4680""","=""0.0003""","=""1200""","=""3.86e+07""",B+,"=""16267.480""","=""36208.929""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4s.(4F).5s""","=""e 5F""","=""4""",,
Ti,1,"=""501.5585""","=""0.0003""","=""11000""","=""5.08e+06""",B,"=""0.000""","=""19937.855""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,
Ti,1,"=""501.5674""","=""0.0003""","=""8700""","=""6.8e+07""",C,"=""6556.833""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,
Fe,1,"=""501.63408""","=""0.00008""","=""12900""","=""2.64e+07""",C+,"=""31805.071""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Ti,1,"=""501.7560""","=""0.0003""","=""3800""","=""6.43e+06""",C+,"=""6842.962""","=""26772.968""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d3.(4F).4p""","=""y 5G*""","=""5""",,
Fe,1,"=""501.78779""","=""0.00020""","=""79""","=""""",,"=""34328.752""","=""54257.502""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Fe,1,"=""502.11303""","=""0.00020""","=""123""","=""""",,"=""32133.991""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Na,1,"=""502.12""","=""0.02""","=""""","=""""",,"=""266933.9""","=""286849.5""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""",,
Ti,1,"=""502.1289""","=""0.0003""","=""24""","=""""",,"=""18061.387""","=""37976.589""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""2""",,
Ti,1,"=""502.1425""","=""0.0003""","=""5100""","=""1.13e+07""",C+,"=""6742.756""","=""26657.416""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,
Fe,1,"=""502.22169""","=""0.00020""","=""135""","=""""",,"=""28604.613""","=""48516.138""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d7.(4P).4p""","=""x 3P*""","=""1""",,
Fe,1,"=""502.2992""","=""0.0005""","=""1120bl""","=""6.18e+06""",D+,"=""34328.752""","=""54237.213""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,
Fe,1,"=""502.30837""","=""0.00020""","=""174""","=""""",,"=""34017.103""","=""53925.200""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""502.36359""","=""0.00008""","=""7100""","=""2.4e+07""",D+,"=""32133.991""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""502.4190""","=""0.0005""","=""1230bl""","=""1.87e+05""",C,"=""24118.819""","=""44022.525""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""",,
Ti,1,"=""502.4267""","=""0.0003""","=""4800""","=""1.39e+07""",C+,"=""6661.006""","=""26564.400""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,
Fe,1,"=""502.45872""","=""0.00008""","=""316""","=""2.3e+06""",E,"=""34547.211""","=""54449.347""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,
Ti,1,"=""502.4735""","=""0.0003""","=""26""","=""""",,"=""17423.856""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,
Fe,1,"=""502.48985""","=""0.00020""","=""234""","=""6.0e+05""",E,"=""34782.421""","=""54683.322""","=""3d7.(4F).4p""","=""z 5G*""","=""5""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,
Fe,1,"=""502.61947""","=""0.00020""","=""302""","=""""",,"=""33765.306""","=""53661.079""","=""3d8""","=""c 3F""","=""2""","=""3d7.(4F).5p""","=""5F*""","=""3""",,
Ti,1,"=""502.6245""","=""0.0003""","=""3500""","=""1.32e+07""",C+,"=""6598.765""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,
Fe,1,"=""502.6485""","=""0.0004""","=""17""","=""""",,"=""34362.873""","=""54257.502""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Fe,1,"=""502.67038""","=""0.00020""","=""98""","=""""",,"=""34555.597""","=""54449.347""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,
Ti,1,"=""502.6972""","=""0.0003""","=""1400""","=""4.26e+07""",B+,"=""16458.671""","=""36351.365""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""6""","=""3d2.4s.(4F).5s""","=""e 5F""","=""5""",,
Fe,1,"=""502.85247""","=""0.00008""","=""4470""","=""""",,"=""33507.123""","=""53393.673""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,
Fe,1,"=""502.8627""","=""0.0005""","=""830bl""","=""4.91e+05""",C,"=""29356.744""","=""49242.886""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(2G).4p""","=""w 3F*""","=""3""",,
Fe,1,"=""502.87442""","=""0.00020""","=""200""","=""""",,"=""32133.991""","=""52019.669""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Fe,1,"=""502.91585""","=""0.00008""","=""690""","=""2.2e+06""",E,"=""33946.933""","=""53830.975""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,
Fe,1,"=""502.95283""","=""0.00008""","=""6300""","=""2.21e+06""",B,"=""28819.954""","=""48702.535""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,
Fe,1,"=""503.10200""","=""0.00008""","=""1200""","=""5.3e+05""",D,"=""27543.003""","=""47419.687""","=""3d7.(2P).4s""","=""a 1P""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""1D*""","=""2""",,
Fe,1,"=""503.21813""","=""0.00008""","=""620""","=""2.60e+04""",C+,"=""26105.908""","=""45978.008""","=""3d7.(2H).4s""","=""b 3H""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""7""",,
Fe,1,"=""503.24390""","=""0.00020""","=""166""","=""""",,"=""29371.812""","=""49242.886""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(2G).4p""","=""w 3F*""","=""3""",,
Ti,1,"=""503.2685""","=""0.0003""","=""13""","=""""",,"=""25227.222""","=""45097.323""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,
Fe,1,"=""503.3317""","=""0.0004""","=""170""","=""8.4e+05""",E,"=""35257.324""","=""55124.938""","=""3d7.(4F).4p""","=""z 5G*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,
Ti,1,"=""503.6171""","=""0.0003""","=""6""","=""""",,"=""17995.487""","=""37851.802""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""1""",,
Ti,1,"=""503.6740""","=""0.0006""","=""8q""","=""""",,"=""25068.842""","=""44922.979""","=""3d3.(2F).4s""","=""3F""","=""3""","=""3d3.(4F).5p""","=""3F*""","=""3""",,
Fe,1,"=""503.71042""","=""0.00003""","=""5200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Ti,1,"=""503.7307""","=""0.0003""","=""4900""","=""""",,"=""11776.812""","=""31628.688""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""5""",,
Ti,1,"=""503.7868""","=""0.0003""","=""4000""","=""3.94e+07""",C+,"=""11639.8109""","=""31489.476""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d3.(4F).4p""","=""w 3G*""","=""4""",,
Fe,1,"=""503.8327""","=""0.0005""","=""141bl""","=""4.7e+04""",E,"=""24335.766""","=""44183.628""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",,
Ti,1,"=""503.9802""","=""0.0003""","=""3300""","=""3.87e+07""",C+,"=""11531.761""","=""31373.807""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d3.(4F).4p""","=""w 3G*""","=""3""",,
Fe,1,"=""504.06568""","=""0.00008""","=""2690""","=""6.38e+05""",B,"=""27166.820""","=""47005.506""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""5""",,
Ti,1,"=""504.1360""","=""0.0003""","=""14000""","=""4.49e+06""",A,"=""170.1328""","=""20006.039""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""",,
Fe,1,"=""504.1645""","=""0.0005""","=""79bl""","=""""",,"=""34039.516""","=""53874.257""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""e 5H""","=""5""",,
Ti,1,"=""504.2017""","=""0.0003""","=""250""","=""8.57e+05""",C+,"=""6661.006""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,
Fe,1,"=""504.22578""","=""0.00008""","=""850""","=""""",,"=""34328.752""","=""54161.139""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,
Fe,1,"=""504.23115""","=""0.00008""","=""2820""","=""""",,"=""34547.211""","=""54379.384""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""e 3G""","=""3""",,
Fe,1,"=""504.24770""","=""0.00008""","=""17800""","=""4.29e+04""",B,"=""7728.060""","=""27559.583""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",,
Fe,1,"=""504.27529""","=""0.00020""","=""204""","=""""",,"=""24335.766""","=""44166.206""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""3""",,
Fe,1,"=""504.28531""","=""0.00020""","=""91""","=""""",,"=""36686.176""","=""56516.218""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).6s""","=""5F""","=""4""",,
Fe,1,"=""504.31616""","=""0.00008""","=""56000""","=""2.35e+05""",B,"=""11976.239""","=""31805.071""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",,
Fe,1,"=""504.32541""","=""0.00020""","=""68""","=""""",,"=""34547.211""","=""54375.677""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,
Ti,1,"=""504.4988""","=""0.0003""","=""320""","=""6.93e+05""",C+,"=""6742.756""","=""26564.400""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,
Fe,1,"=""504.56176""","=""0.00008""","=""1660""","=""2.29e+05""",B,"=""22996.674""","=""42815.855""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""",,
Ti,1,"=""504.5658""","=""0.0003""","=""12""","=""""",,"=""17540.188""","=""37359.203""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d3.(4P).4p""","=""y 5S*""","=""2""",,
Ti,1,"=""504.6822""","=""0.0003""","=""170""","=""2.92e+05""",C+,"=""6842.962""","=""26657.416""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,
Fe,1,"=""504.7770""","=""0.0004""","=""129""","=""""",,"=""40404.518""","=""60215.243""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.4s.(4D).4d""","=""3P""","=""1""",,
Ti,1,"=""504.9617""","=""0.0003""","=""57""","=""""",,"=""17369.529""","=""37172.989""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""1""",,
Fe,1,"=""504.9844""","=""0.0005""","=""1820bl""","=""4.88e+06""",B,"=""31937.325""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Na,1,"=""505.08""","=""0.02""","=""""","=""""",,"=""267576.0""","=""287374.8""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""1/2""",,
Fe,1,"=""505.12274""","=""0.00008""","=""27500""","=""1.65e+06""",B,"=""18378.186""","=""38175.355""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""3""",,
Fe,1,"=""505.30427""","=""0.00008""","=""38900""","=""4.65e+04""",A,"=""7376.764""","=""27166.820""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""",,
Ti,1,"=""505.4278""","=""0.0003""","=""410""","=""""",,"=""17540.188""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,
Fe,1,"=""505.43900""","=""0.00020""","=""324""","=""""",,"=""26351.040""","=""46135.820""","=""3d7.(2H).4s""","=""b 3H""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""5""",,
Ti,1,"=""505.5484""","=""0.0003""","=""79""","=""""",,"=""21588.495""","=""41368.996""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,
Fe,1,"=""505.60516""","=""0.00008""","=""550""","=""4.47e+05""",C+,"=""29356.744""","=""49135.023""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Fe,1,"=""505.7401""","=""0.0005""","=""79""","=""3.0e+05""",E,"=""34782.421""","=""54555.418""","=""3d7.(4F).4p""","=""z 5G*""","=""5""","=""3d7.(4F).4d""","=""e 3H""","=""4""",,
Fe,1,"=""505.82507""","=""0.00020""","=""158""","=""1.0e+06""",E,"=""34362.873""","=""54132.551""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,
Fe,1,"=""505.8893""","=""0.0005""","=""132bl*""","=""""",,"=""35611.625""","=""55378.811""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""f 3F""","=""2""",,
Fe,1,"=""505.8893""","=""0.0005""","=""132bl*""","=""""",,"=""33801.572""","=""53568.751""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,
Fe,1,"=""505.99074""","=""0.00020""","=""45""","=""""",,"=""29371.812""","=""49135.023""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Fe,1,"=""506.14448""","=""0.00020""","=""20""","=""""",,"=""34692.148""","=""54449.347""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,
Fe,1,"=""506.14895""","=""0.00008""","=""930""","=""1.38e+02""",C+,"=""0.000""","=""19757.032""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""",,
Ti,1,"=""506.3512""","=""0.0003""","=""310""","=""2.98e+07""",C+,"=""17423.856""","=""37172.989""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""1""",,
Ti,1,"=""506.5468""","=""0.0003""","=""110""","=""1.3e+07""",D,"=""21739.707""","=""41481.207""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""5""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,
Fe,1,"=""506.6002""","=""0.0005""","=""50""","=""""",,"=""32873.632""","=""52613.090""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2H).4p""","=""w 3H*""","=""5""",,
Ti,1,"=""506.6064""","=""0.0003""","=""17000""","=""4.37e+06""",A,"=""386.874""","=""20126.062""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,
Fe,1,"=""506.63644""","=""0.00008""","=""510""","=""""",,"=""34328.752""","=""54066.773""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,
Fe,1,"=""506.64302""","=""0.00008""","=""6900""","=""""",,"=""34328.752""","=""54066.518""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,
Fe,1,"=""506.66045""","=""0.00008""","=""2040""","=""8.86e+05""",D+,"=""29371.812""","=""49108.896""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(2G).4p""","=""w 3F*""","=""4""",,
Ti,1,"=""506.7400""","=""0.0003""","=""300""","=""""",,"=""11639.8109""","=""31373.807""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d3.(4F).4p""","=""w 3G*""","=""3""",,
Fe,1,"=""506.85618""","=""0.00008""","=""1550""","=""""",,"=""34039.516""","=""53768.979""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,
Ti,1,"=""506.9737""","=""0.0003""","=""76""","=""""",,"=""21469.488""","=""41194.378""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""2""",,
Fe,1,"=""507.01786""","=""0.00008""","=""12900""","=""3.37e+06""",B+,"=""23711.456""","=""43434.627""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""3""",,
Ti,1,"=""507.0767""","=""0.0003""","=""130""","=""""",,"=""17369.529""","=""37090.413""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""0""",,
Fe,1,"=""507.0836""","=""0.0004""","=""100""","=""""",,"=""34636.792""","=""54357.405""","=""3d6.4s2""","=""b 1D2""","=""2""","=""3d7.(4F).5p""","=""3G*""","=""3""",,
Ti,1,"=""507.2529""","=""0.0003""","=""16""","=""""",,"=""25388.331""","=""45102.381""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""4""","=""3d2.4s.(2D).5s""","=""3D""","=""3""",,
Na,1,"=""507.26""","=""0.02""","=""270""","=""4.1e+07""",D,"=""266586.7""","=""286300.4""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""5/2""",,
Ti,1,"=""507.2881""","=""0.0003""","=""330""","=""2.49e+06""",C+,"=""11776.812""","=""31489.476""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""w 3G*""","=""4""",,
Fe,1,"=""507.2925""","=""0.0005""","=""105""","=""""",,"=""36766.966""","=""56479.463""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).5d""","=""5D""","=""2""",,
Fe,1,"=""507.34919""","=""0.00008""","=""2190""","=""""",,"=""34547.211""","=""54257.502""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Fe,1,"=""507.40859""","=""0.00008""","=""1100""","=""""",,"=""34039.516""","=""53747.500""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Fe,1,"=""507.5311""","=""0.0005""","=""457bl""","=""""",,"=""32133.991""","=""51837.238""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,
Fe,1,"=""507.61627""","=""0.00008""","=""10200""","=""1.4e+07""",D,"=""34039.516""","=""53739.438""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""5""",,
Fe,1,"=""507.76793""","=""0.00008""","=""1320""","=""""",,"=""34692.148""","=""54386.186""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""1""",,
Fe,1,"=""508.03903""","=""0.00008""","=""4790""","=""""",,"=""34692.148""","=""54375.677""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,
Fe,1,"=""508.06385""","=""0.00008""","=""3980""","=""7.38e+05""",B,"=""17726.988""","=""37409.555""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""",,
Fe,1,"=""508.11556""","=""0.00008""","=""11200""","=""5.19e+04""",A,"=""7985.785""","=""27666.348""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""",,
