element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""635.67857""","=""0.00012""","=""17000""","=""1.69e+05""",C,"=""22946.816""","=""38678.039""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""2""",,
Ti,1,"=""635.9181""","=""0.0005""","=""2*""","=""""",,"=""25643.701""","=""41368.996""","=""3d3.(4F).4p""","=""y 3D*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,
Ti,1,"=""635.9181""","=""0.0005""","=""2*""","=""""",,"=""33114.420""","=""48839.708""","=""3d3.(4P).4p""","=""x 3P*""","=""2""","=""3d2.4p2""","=""e 3D""","=""3""",,
Fe,1,"=""636.03913""","=""0.00012""","=""7800""","=""5.19e+05""",C+,"=""33412.717""","=""49135.023""","=""3d8""","=""c 3F""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""3""",,
Ti,1,"=""636.0443""","=""0.0005""","=""6""","=""6.8e+04""",C,"=""11776.812""","=""27498.982""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""3""",,
Fe,1,"=""636.04552""","=""0.00012""","=""28200""","=""4.32e+02""",A,"=""6928.268""","=""22650.416""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""6""",,
Ti,1,"=""636.0931""","=""0.0005""","=""5""","=""""",,"=""17369.529""","=""33090.497""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,
Ti,1,"=""636.1643""","=""0.0005""","=""14""","=""""",,"=""386.874""","=""16106.076""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""",,
Ti,1,"=""636.3094""","=""0.0005""","=""5""","=""""",,"=""17369.529""","=""33085.151""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""0""",,
Fe,1,"=""636.46351""","=""0.00012""","=""6600""","=""2.8e+05""",E,"=""33765.306""","=""49477.127""","=""3d8""","=""c 3F""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""1F*""","=""3""",,
Fe,1,"=""636.61249""","=""0.00012""","=""2400""","=""2.1e+06""",E,"=""38678.039""","=""54386.186""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""1""",,
Fe,1,"=""636.64543""","=""0.00012""","=""1230""","=""""",,"=""36975.588""","=""52682.920""","=""3d7.(2F).4s""","=""d 3F""","=""3""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""",,
Ti,1,"=""636.6610""","=""0.0005""","=""5""","=""""",,"=""170.1328""","=""15877.081""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""2""",,
Ti,1,"=""636.8104""","=""0.0005""","=""150""","=""""",,"=""11776.812""","=""27480.066""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""3""",,
Fe,1,"=""636.8880""","=""0.0003""","=""182""","=""""",,"=""38678.039""","=""54379.384""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""e 3G""","=""3""",,
Fe,1,"=""637.0140""","=""0.0008""","=""71""","=""""",,"=""31307.245""","=""47005.506""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""5""",,
Fe,1,"=""637.0395""","=""0.0008""","=""50""","=""""",,"=""38678.039""","=""54375.677""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,
Ti,1,"=""637.3256""","=""0.0005""","=""10""","=""""",,"=""17423.856""","=""33114.420""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,
Fe,1,"=""637.7962""","=""0.0006""","=""151""","=""""",,"=""34843.957""","=""50522.944""","=""3d7.(4F).4p""","=""z 5G*""","=""6""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""6""",,
Fe,1,"=""638.25068""","=""0.00012""","=""15800""","=""1.38e+06""",C,"=""33765.306""","=""49433.131""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2G).4p""","=""w 3F*""","=""2""",,
Ti,1,"=""638.2987""","=""0.0005""","=""9""","=""""",,"=""17423.856""","=""33090.497""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,
Fe,1,"=""638.74834""","=""0.00012""","=""790""","=""""",,"=""38175.355""","=""53830.975""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,
Fe,1,"=""639.43054""","=""0.00012""","=""1020""","=""""",,"=""18378.186""","=""34017.103""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""1""",,
Fe,1,"=""639.53683""","=""0.00012""","=""302000""","=""4.81e+05""",C,"=""19621.006""","=""35257.324""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d7.(4F).4p""","=""z 5G*""","=""4""",,
Ti,1,"=""639.7235""","=""0.0005""","=""11""","=""3.3e+04""",C,"=""12118.393""","=""27750.135""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""5""",,
Fe,1,"=""639.9737""","=""0.0006""","=""129""","=""""",,"=""36079.372""","=""51705.014""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""",,
Fe,1,"=""640.1418""","=""0.0006""","=""151""","=""""",,"=""32133.991""","=""47755.537""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,
Fe,1,"=""640.17699""","=""0.00012""","=""490000""","=""9.27e+06""",B,"=""29056.324""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,
Fe,1,"=""640.20867""","=""0.00012""","=""28200""","=""8.69e+02""",C+,"=""7376.764""","=""22996.674""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""",,
Ti,1,"=""640.9571""","=""0.0005""","=""3""","=""""",,"=""25068.842""","=""40670.509""","=""3d3.(2F).4s""","=""3F""","=""3""","=""3d3.(4P).4p""","=""r 3D*""","=""2""",,
Fe,1,"=""640.97892""","=""0.00012""","=""74000""","=""3.12e+06""",B,"=""29732.736""","=""45333.875""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""1""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""",,
Fe,1,"=""641.0106""","=""0.0003""","=""219""","=""""",,"=""35379.208""","=""50979.579""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""4""",,
Fe,1,"=""641.2879""","=""0.0003""","=""417""","=""""",,"=""38175.355""","=""53768.979""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""4""",,
Fe,1,"=""641.34212""","=""0.00012""","=""219000""","=""4.43e+06""",B,"=""29469.024""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,
Fe,1,"=""641.3974""","=""0.0008""","=""71""","=""""",,"=""19788.251""","=""35379.208""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(4F).4p""","=""z 3G*""","=""5""",,
Ti,1,"=""641.4875""","=""0.0005""","=""3""","=""""",,"=""386.874""","=""15975.631""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""",,
Fe,1,"=""641.8704""","=""0.0008""","=""1020bl""","=""""",,"=""38678.039""","=""54257.502""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Ti,1,"=""642.0861""","=""0.0005""","=""22""","=""""",,"=""17540.188""","=""33114.420""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,
Fe,1,"=""642.14194""","=""0.00012""","=""1230""","=""""",,"=""31805.071""","=""47377.955""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,
Fe,1,"=""642.17237""","=""0.00012""","=""36300""","=""1.2e+07""",D,"=""38175.355""","=""53747.500""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Fe,1,"=""642.1840""","=""0.0003""","=""182""","=""""",,"=""36940.590""","=""52512.457""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d7.(2P).4p""","=""u 3D*""","=""1""",,
Fe,1,"=""642.31253""","=""0.00012""","=""257000""","=""3.04e+05""",B,"=""18378.186""","=""33946.933""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""",,
Fe,1,"=""643.26234""","=""0.00012""","=""209000""","=""1.77e+05""",B,"=""17550.181""","=""33095.941""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d7.(4F).4p""","=""y 5D*""","=""4""",,
Fe,1,"=""643.6654""","=""0.0008""","=""50""","=""""",,"=""27543.003""","=""43079.023""","=""3d7.(2P).4s""","=""a 1P""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",,
Fe,1,"=""643.81857""","=""0.00012""","=""2040""","=""""",,"=""33765.306""","=""49297.635""","=""3d8""","=""c 3F""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""1""",,
